date,nv total gas sold,nv share of usa gas,average state tax excl. nv,nv excise tax
2007-07-01,101885547.0,0.008376522460721887,0.20465528102153627,0.24
2007-08-01,107424855.0,0.008749145769270465,0.204696535940293,0.24
2007-09-01,98373186.0,0.008425763653661877,0.20435881739895476,0.24
2007-10-01,98774895.0,0.008229297667506609,0.20438412061806865,0.24
2007-11-01,94513237.0,0.008342911802650559,0.20406092889795208,0.24
2007-12-01,95921039.0,0.00816798121175466,0.20396910538706703,0.24
2008-01-01,90105826.0,0.008094329323978933,0.20784543740853398,0.24
2008-02-01,90337235.0,0.00836568874522751,0.20318438461317923,0.24
2008-03-01,96889997.0,0.008490429815403178,0.20377991242169377,0.24
2008-04-01,95095539.0,0.008343910779041334,0.2037841454906823,0.24
2008-05-01,96400674.0,0.008248852424807602,0.2045212237368316,0.24
2008-06-01,95715010.0,0.008269651289623028,0.2062961144525007,0.24
2008-07-01,100861767.0,0.008566724096836746,0.2106231352836371,0.24
2008-08-01,101141555.0,0.008689966336212624,0.2070255069891065,0.24
2008-09-01,90986882.0,0.008287314359198392,0.20614981125762294,0.24
2008-10-01,94956521.0,0.00839424757777733,0.2070528585722357,0.24
2008-11-01,85744514.0,0.007495908282011327,0.20517107506323368,0.24
2008-12-01,92390318.0,0.008051863967703275,0.20584388453572508,0.24
2009-01-01,89970956.0,0.008174988075852124,0.20618444746396017,0.24
2009-02-01,82283551.0,0.007909865555427453,0.2062517302098279,0.24
2009-03-01,94010270.0,0.008254633816021796,0.2061516315539481,0.24
2009-04-01,92529893.0,0.0081403524342152,0.20539208740983866,0.24
2009-05-01,96207833.0,0.008077909088464398,0.2072458355371608,0.24
2009-06-01,92539852.0,0.007923149802209234,0.20680268342893293,0.24
2009-07-01,99342279.0,0.008248421555918048,0.20790682291151485,0.24
2009-08-01,97410758.0,0.008215865500318111,0.2078351491257661,0.24
2009-09-01,93128975.0,0.008211336405323877,0.20797962532019762,0.24
2009-10-01,93219486.0,0.008066890687879295,0.2085989641838037,0.24
2009-11-01,85545969.0,0.007666178783831935,0.20782149110047476,0.24
2009-12-01,90469876.0,0.008025437207998065,0.20815666158391902,0.24
2010-01-01,85214738.0,0.0080107729525511,0.20698678310242577,0.24
2010-02-01,80855962.0,0.007833229278291418,0.20728612843967195,0.24
2010-03-01,91816852.0,0.008072320716685675,0.20686317188712477,0.24
2010-04-01,91070259.0,0.008041963383548782,0.20664363509731126,0.24
2010-05-01,93755104.0,0.00785892934846313,0.20799608104240835,0.24
2010-06-01,94202332.0,0.00788677139269895,0.20660930034789957,0.24
2010-07-01,98702114.0,0.008081296418410973,0.21013596488658537,0.24
2010-08-01,99527398.0,0.008155913099514064,0.2087360450062822,0.24
2010-09-01,91762696.0,0.008097072791948481,0.20820881619083537,0.24
2010-10-01,92511348.0,0.007857280339951938,0.20982458514062605,0.24
2010-11-01,87009314.0,0.007743402445309272,0.20832204999307588,0.24
2010-12-01,89029399.0,0.007680790219222163,0.20921603855350804,0.24
2011-01-01,89916680.0,0.008362162559500197,0.20871981417161653,0.24
2011-02-01,79747230.0,0.007751767278062109,0.20972642688359988,0.24
2011-03-01,91564475.0,0.008097265379526642,0.20809557871917328,0.24
2011-04-01,88461256.0,0.00801728822471001,0.20974155869949088,0.24
2011-05-01,90867564.0,0.007836810192525105,0.20969211465426127,0.24
2011-06-01,92717475.0,0.007918894413097722,0.2093704237457874,0.24
2011-07-01,95922937.0,0.008178648945654754,0.21084817173391682,0.24
2011-08-01,96881299.0,0.008179768244232596,0.21099219061423646,0.24
2011-09-01,90801126.0,0.008021737074557897,0.21010856390884963,0.24
2011-10-01,91007315.0,0.008056769094435276,0.21022507040539662,0.24
2011-11-01,86173694.0,0.007733675258231173,0.2092965985406815,0.24
2011-12-01,90210845.0,0.007968271084458639,0.2104377553987684,0.24
2012-01-01,85218880.0,0.007884822220114674,0.20955312922546754,0.24
2012-02-01,83833568.0,0.007910653223209236,0.20849382359725255,0.24
2012-03-01,90526280.0,0.008101611157843669,0.21005036243075284,0.24
2012-04-01,88588856.0,0.007968003913932625,0.20852102214895332,0.24
2012-05-01,93307048.0,0.008020377289988752,0.20974882792975574,0.24
2012-06-01,93469896.0,0.008046301843040725,0.20966642761153154,0.24
2012-07-01,95733704.0,0.008262406304399105,0.21076146930071232,0.24
2012-08-01,96219192.0,0.008015197739557577,0.21094663212229736,0.24
2012-09-01,88528528.0,0.00799246443803554,0.2103124016920383,0.24
2012-10-01,93392448.0,0.00819310120213792,0.20986329204178147,0.24
2012-11-01,86416584.0,0.007843581488303851,0.20966264552273056,0.24
2012-12-01,88379208.0,0.007960450045876814,0.21021668749487563,0.24
2013-01-01,87220688.0,0.008137493358991995,0.23574108167221652,0.24
2013-02-01,80579112.0,0.00798034621854458,0.2365707699074801,0.24
2013-03-01,92546480.0,0.008165213218608724,0.23510081711364658,0.24
2013-04-01,90746432.0,0.00808667388588225,0.23702656382233864,0.24
2013-05-01,94514808.0,0.008180965587285859,0.2376862690881804,0.24
2013-06-01,94160048.0,0.007925870188723155,0.23643409091600653,0.24
2013-07-01,97584264.0,0.008398223930397162,0.23700071472057418,0.24
2013-07-30,,,,0.24
2013-08-01,98272544.0,0.008256441935537156,0.23786928161503668,0.24
2013-09-01,90759296.0,0.008042232458590256,0.23747546272579742,0.24
2013-10-01,92698640.0,0.008011588563146451,0.23714201170802712,0.24
2013-11-01,87032496.0,0.007694863125100834,0.2361570987661395,0.24
2013-12-01,90798040.0,0.008061081417912754,0.2383862547196374,0.24
2014-01-01,87444384.0,0.008061472702735004,0.23656571566745244,0.24
2014-02-01,81419744.0,0.008054166918639628,0.2371612697769516,0.24
2014-03-01,93503344.0,0.008163824201691972,0.2352802475557531,0.24
2014-04-01,91716672.0,0.008192722580302885,0.23690764902068903,0.24
2014-05-01,95144224.0,0.00802434753902416,0.23805274282847866,0.24
2014-06-01,94330360.0,0.007871712946774724,0.2366680718687393,0.24
2014-07-01,98098008.0,0.008146295982806855,0.23623021665812755,0.24
2014-08-01,98958712.0,0.008260132206358668,0.23910932627748357,0.24
2014-09-01,92112536.0,0.008007288645973895,0.2367186649633552,0.24
2014-10-01,95610696.0,0.00812277712277231,0.23693950899871366,0.24
2014-11-01,89012608.0,0.007785153318299142,0.23657107422709803,0.24
2014-12-01,93532616.0,0.00794092527346678,0.23733026218800035,0.24
2015-01-01,91921112.0,0.008208372365374377,0.24296663034169694,0.24
2015-02-01,84576672.0,0.008077047958813262,0.2423274346362896,0.24
2015-03-01,97859048.0,0.008414296031402297,0.24276894256796372,0.24
2015-04-01,94691712.0,0.00812311674060472,0.24228684147779997,0.24
2015-05-01,97743888.0,0.008167150459142779,0.24353348261443428,0.24
2015-06-01,98912608.0,0.008069293708330746,0.24170276645688096,0.24
2015-07-01,100200736.0,0.008046899150157065,0.24268146570126958,0.24
2015-08-01,104869960.0,0.008370226943110416,0.2432883429752574,0.24
2015-09-01,96900840.0,0.008186476638801019,0.243181460511467,0.24
2015-10-01,98180256.0,0.008035761654094125,0.24346443381773616,0.24
2015-11-01,92768024.0,0.008135335071999072,0.24128754456843077,0.24
2015-12-01,95341816.0,0.008015941976627469,0.24181722184922574,0.24
2016-01-01,93455816.0,0.008209986557916174,0.25245382523854143,0.24
2016-02-01,90946008.0,0.008103280011012463,0.25213182920939803,0.24
2016-03-01,99133160.0,0.008252631887122499,0.2524556050615306,0.24
2016-04-01,96010112.0,0.008097944755118464,0.2538104503218283,0.24
2016-05-01,100706688.0,0.008134895097757168,0.2539489476365343,0.24
2016-06-01,102455728.0,0.00818039453145376,0.25287323198098327,0.24
2016-07-01,106629400.0,0.00867170912813035,0.2516833542647312,0.24
2016-08-01,105926264.0,0.008385249609103288,0.2509797529365036,0.24
2016-09-01,100592928.0,0.008315463870096464,0.25321933371320327,0.24
2016-10-01,100635264.0,0.008114230709339232,0.2566359688640473,0.24
2016-11-01,95572712.0,0.007977323162963668,0.255729088978714,0.24
2016-12-01,98657840.0,0.008146596030399243,0.25399128809539095,0.24
2017-01-01,93628720.0,0.008268941196148372,0.2653919388958213,0.24
2017-02-01,86769504.0,0.008033469921977471,0.2649347777300345,0.24
