state,gasoline sales,date
Arizona,222596480.0,2012-05-01
Arizona,215399600.0,2012-06-01
Arizona,214271616.0,2012-07-01
Arizona,226363552.0,2012-08-01
Arizona,204350000.0,2012-09-01
Arizona,219381872.0,2012-10-01
Arizona,213310480.0,2012-11-01
Arizona,219601792.0,2012-12-01
Arizona,215038640.0,2013-01-01
Arizona,203788160.0,2013-02-01
Arizona,234610384.0,2013-03-01
Arizona,225743984.0,2013-04-01
Arizona,231836816.0,2013-05-01
Arizona,211428688.0,2013-06-01
Arizona,225622416.0,2013-07-01
Arizona,225669712.0,2013-08-01
Arizona,213103616.0,2013-09-01
Arizona,222957840.0,2013-10-01
Arizona,212478976.0,2013-11-01
Arizona,223842960.0,2013-12-01
Arizona,215786816.0,2014-01-01
Arizona,209686288.0,2014-02-01
Arizona,237658880.0,2014-03-01
Arizona,230198384.0,2014-04-01
Arizona,228566208.0,2014-05-01
Arizona,215495888.0,2014-06-01
Arizona,225352336.0,2014-07-01
Arizona,226866144.0,2014-08-01
Arizona,216733040.0,2014-09-01
Arizona,229123040.0,2014-10-01
Arizona,221492368.0,2014-11-01
Arizona,232190848.0,2014-12-01
Arizona,231912640.0,2015-01-01
Arizona,215661072.0,2015-02-01
Arizona,249614720.0,2015-03-01
Arizona,238001552.0,2015-04-01
Arizona,232077472.0,2015-05-01
Arizona,229549120.0,2015-06-01
Arizona,239025568.0,2015-07-01
Arizona,245383344.0,2015-08-01
Arizona,223765488.0,2015-09-01
Arizona,245315312.0,2015-10-01
Arizona,232860096.0,2015-11-01
Arizona,234004784.0,2015-12-01
Arizona,237463680.0,2016-01-01
Arizona,240208352.0,2016-02-01
Arizona,250980368.0,2016-03-01
Arizona,242128736.0,2016-04-01
Arizona,251031968.0,2016-05-01
Arizona,237893792.0,2016-06-01
Arizona,247702416.0,2016-07-01
