date,ca total gas sold,ca share of usa gas,average state tax excl. ca,ca state gas tax,ca state gas sales tax rate
2016-11-01,1251787520.0,0.10448498707878925,0.250423626113948,0.278,0.0225
2016-12-01,1295804544.0,0.10700007373284982,0.2483508433584482,0.278,0.0225
2017-01-01,1229367936.0,0.10857321526145285,0.26362077585171445,0.278,0.0225
2017-02-01,1162331136.0,0.1076132948787388,0.263134768327747,0.278,0.0225
2017-03-01,1345472128.0,0.11093495973055541,0.26356343194383447,0.278,0.0225
2017-04-01,1287544704.0,0.10706614368619741,0.2651025795742704,0.278,0.0225
2017-05-01,1356448640.0,0.10794963460381268,0.26374270265944694,0.278,0.0225
2017-06-01,1320833536.0,0.1042811173926513,0.2638995767323479,0.278,0.0225
2017-07-01,1337664128.0,0.1064327887875041,0.26438272733077617,0.297,0.0225
2017-08-01,1315587200.0,0.10272471291121169,0.2659750032064491,0.297,0.0225
2017-09-01,1298500608.0,0.10640770458485566,0.2634430321654412,0.297,0.0225
2017-10-01,1339340928.0,0.10916983317161727,0.2654949191826821,0.297,0.0225
2017-11-01,1240036352.0,0.10475301223526892,0.26434496112114836,0.417,0.0225
2017-12-01,1361698432.0,0.11293912227776674,0.26473461376864055,0.417,0.0225
2018-01-01,1236964864.0,0.10697230304111749,0.2674324057806477,0.417,0.0225
2018-02-01,1186271488.0,0.11007196537954157,0.26782925899280197,0.417,0.0225
2018-03-01,1309212672.0,0.10805483166085132,0.26774495623111366,0.417,0.0225
2018-04-01,1346349184.0,0.11248187603292069,0.26683257351442796,0.417,0.0225
2018-05-01,1338693888.0,0.10458038994269558,0.2683832745012324,0.417,0.0225
2018-06-01,1295586816.0,0.10312612252286942,0.26635066673760344,0.417,0.0225
2018-07-01,1317906944.0,0.10424371100332847,0.26873184366789893,0.417,0.0225
2018-08-01,1362251648.0,0.10844240078020392,0.27013146292986734,0.417,0.0225
2018-09-01,1280818688.0,0.104007845993156,0.26535733745241374,0.417,0.0225
2018-10-01,1353300352.0,0.10818627861088799,0.26856476280695474,0.417,0.0225
2018-11-01,1238019328.0,0.10149785327160535,0.26526191520877246,0.417,0.0225
2018-12-01,1274082944.0,0.10660603414623948,0.2694185264240022,0.417,0.0225
2019-01-01,1232542080.0,0.10573753739650733,0.289300947505072,0.417,0.0225
