date,wa total gas sold,wa share of usa gas,average state tax excl. wa,wa excise tax
2008-09-01,218351164.0,0.01988797392534984,0.20300980183635492,0.375
2008-10-01,230182366.0,0.020348342040064367,0.20384673995774863,0.375
2008-11-01,213371780.0,0.018653266760011014,0.20220903349824335,0.375
2008-12-01,206496680.0,0.01799629239442983,0.20302397408389022,0.375
2009-01-01,218769684.0,0.019877965485416618,0.20304272849477334,0.375
2009-02-01,199478727.0,0.01917576347352603,0.2032247529791175,0.375
2009-03-01,226037157.0,0.01984734178350544,0.20301764485749457,0.375
2009-04-01,222272480.0,0.019554505738238016,0.20229667995245257,0.375
2009-05-01,235548877.0,0.019777416816943404,0.20413107474411132,0.375
2009-06-01,228569519.0,0.019569844776236616,0.20371366372802402,0.375
2009-07-01,248289086.0,0.020615523115405782,0.20465989050033834,0.375
2009-08-01,238330726.0,0.02010140593926154,0.20467565236115834,0.375
2009-09-01,224477025.0,0.019792512132140377,0.20487536141535542,0.375
2009-10-01,229240176.0,0.019837648976762334,0.20549238790768143,0.375
2009-11-01,212941150.0,0.01908266333782219,0.20482070307235817,0.375
2009-12-01,224363601.0,0.01990293422736461,0.20502930268768396,0.375
2010-01-01,201674289.0,0.01895877376922961,0.20400947378421905,0.375
2010-02-01,200247105.0,0.019399700986540685,0.2042294868028416,0.375
2010-03-01,231137930.0,0.020321100757743727,0.20364861421568345,0.375
2010-04-01,225037338.0,0.019871932417885086,0.20350392739778303,0.375
2010-05-01,232133260.0,0.019458342126828877,0.2049384823880693,0.375
2010-06-01,232089505.0,0.01943090823462481,0.20354104188149286,0.375
2010-07-01,247512106.0,0.02026520623186609,0.20697218671773213,0.375
2010-08-01,244605590.0,0.02004455030257464,0.20559539191817403,0.375
2010-09-01,222701830.0,0.019651045653782184,0.2051280706819555,0.375
2010-10-01,236602170.0,0.0200953679621117,0.2066792136981427,0.375
2010-11-01,212910722.0,0.018948010616051548,0.20535286947851822,0.375
2010-12-01,219788207.0,0.018961681529782944,0.20625275213036381,0.375
2011-01-01,214449331.0,0.01994357628193195,0.20560300222331526,0.375
2011-02-01,203831047.0,0.019813237906667603,0.2066250475873989,0.375
2011-03-01,224050146.0,0.019813289930223372,0.20498536809066448,0.375
2011-04-01,223903240.0,0.02029246351110388,0.20656621286515664,0.375
2011-05-01,226593899.0,0.019542434055426026,0.2066394569897389,0.375
2011-06-01,229250565.0,0.019580030823509766,0.20631002114037375,0.375
2011-07-01,238028479.0,0.020294951652795566,0.20769106760948275,0.375
2011-08-01,246478709.0,0.02081040136298799,0.2077489053645215,0.375
2011-09-01,225881301.0,0.019955263623945278,0.20699577658170548,0.375
2011-10-01,227671929.0,0.020155524434905724,0.20708045361773747,0.375
2011-11-01,215969255.0,0.019382203621584555,0.20626356473010957,0.375
2011-12-01,221424387.0,0.019558286371511975,0.2073952537532985,0.375
2012-01-01,205490976.0,0.019012920770583364,0.20659125540518522,0.375
2012-02-01,210860928.0,0.01989713332649865,0.20536786471956073,0.375
2012-03-01,224283040.0,0.020072115847233507,0.20691926669523678,0.375
2012-04-01,218112576.0,0.019617838379648193,0.20544555512890506,0.375
2012-05-01,225128608.0,0.019351339621525486,0.20673530642132731,0.375
2012-06-01,233518512.0,0.020102305810736406,0.2065237393449453,0.375
2012-07-01,238321488.0,0.0205686073206253,0.20755902224278802,0.375
2012-08-01,250136400.0,0.02083672359108014,0.20769337885060998,0.375
2012-09-01,222983728.0,0.02013124533484381,0.20717107339744348,0.375
2012-10-01,229875472.0,0.02016643793281039,0.20671652700229645,0.375
2012-11-01,219106208.0,0.019887124872249674,0.20655062513322733,0.375
2012-12-01,212152128.0,0.019108865708215714,0.20724822992030956,0.375
2013-01-01,218537616.0,0.0203890663977558,0.2331672130358408,0.375
2013-02-01,201056016.0,0.01991206625609424,0.23378627928993514,0.375
2013-03-01,227015040.0,0.020029137849770066,0.2322823077280006,0.375
2013-04-01,225697952.0,0.020112589490411104,0.23421914153698895,0.375
2013-05-01,241250736.0,0.02088206082081218,0.23477705352242215,0.375
2013-06-01,231921360.0,0.019521852764477467,0.23370399400839698,0.375
2013-07-01,247436432.0,0.02129468911580345,0.23402386034741612,0.375
2013-07-30,,,,0.375
2013-08-01,250264624.0,0.021026171222096768,0.2349419901550094,0.375
2013-09-01,225802368.0,0.020008475309858526,0.23468834324875873,0.375
2013-10-01,232963616.0,0.020134153441461942,0.23433269152364652,0.375
2013-11-01,221397152.0,0.019574536629710634,0.23341521281032487,0.375
2013-12-01,217247136.0,0.019287275926929314,0.23571279241049461,0.375
2014-01-01,217278704.0,0.020030861457971262,0.2337643288243635,0.375
2014-02-01,198546112.0,0.01964048827143105,0.23442313522497968,0.375
2014-03-01,227075472.0,0.019826074176814763,0.23249343295350358,0.375
2014-04-01,227932560.0,0.02036040111767512,0.23406345941898207,0.375
2014-05-01,233304208.0,0.01967659168998825,0.2353199408630591,0.375
2014-06-01,234362768.0,0.01955718641493111,0.2339354746688253,0.375
2014-07-01,249355664.0,0.020707097782590406,0.23332729588823928,0.375
2014-08-01,251122592.0,0.020961325870161564,0.23620740653836525,0.375
2014-09-01,230124256.0,0.020004566395088613,0.23392275043234326,0.375
2014-10-01,236987600.0,0.020133704033079264,0.23412809547615115,0.375
2014-11-01,224911840.0,0.019671069041149382,0.23382061965296222,0.375
2014-12-01,220600832.0,0.01872902520096946,0.23472423406093243,0.375
2015-01-01,218548672.0,0.01951596146632853,0.23892043850655356,0.445
2015-02-01,204980944.0,0.019575621458962297,0.23826160322443352,0.445
