date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2012-05-01,127051744.0,0.010920964107996051,0.20899761999497554,0.3
2012-06-01,127339272.0,0.010961927452931628,0.20891200064236246,0.3
2012-07-01,134251152.0,0.011586698501268084,0.2099597810619252,0.3
2012-08-01,137720752.0,0.01147233766129079,0.21014869612813522,0.3
2012-09-01,124925184.0,0.011278399326091206,0.20952931422620447,0.3
2012-10-01,124546680.0,0.010926189167140013,0.20911720252061783,0.3
2012-11-01,114584144.0,0.010400203631418048,0.2089536989297839,0.3
2012-12-01,119180288.0,0.010734750294177925,0.20948208886857927,0.3
2013-01-01,112304256.0,0.010477733647165645,0.23516029423986518,0.3
2013-02-01,105809104.0,0.010479059175956047,0.2359267085151695,0.3
2013-03-01,120220432.0,0.010606837348251942,0.2344454940212633,0.3
2013-04-01,109318384.0,0.009741673602546137,0.23643134395802748,0.3
2013-05-01,126590024.0,0.010957316128047267,0.23701505164566647,0.3
2013-06-01,138886912.0,0.011690729335913426,0.23571076580840644,0.3
2013-07-01,137111376.0,0.011799976675059855,0.23627393734291438,0.3
2013-07-30,,,,0.3
2013-08-01,139063744.0,0.01168354538246617,0.23715259325924948,0.3
2013-09-01,123589544.0,0.010951339268863087,0.23680368129718882,0.3
2013-10-01,128155576.0,0.011075995796540767,0.23646115271982762,0.3
2013-11-01,116690272.0,0.010317016198992918,0.23552144305988235,0.3
2013-12-01,117207320.0,0.01040570643700408,0.23775152387462223,0.3
2014-01-01,114563840.0,0.010561607579973353,0.23591657707526265,0.3
2014-02-01,102476792.0,0.010137162652522146,0.2365408375562719,0.3
2014-03-01,121732720.0,0.010628545281479905,0.2346239262096503,0.3
2014-04-01,122824496.0,0.010971473341221118,0.23623336994179206,0.3
2014-05-01,128803088.0,0.010863094981062773,0.23738821049433584,0.3
2014-06-01,129112896.0,0.010774258203178474,0.23600479904055777,0.3
2014-07-01,141039744.0,0.011712281659820321,0.23550554925550388,0.3
2014-08-01,140084416.0,0.011692914881617958,0.23839635719820984,0.3
2014-09-01,127562144.0,0.011088902245697448,0.23603564510050737,0.3
